Emoji,Description
🕢,Seven-Thirty
🕗,Eight O'Clock
🕣,Eight-Thirty
🕘,Nine O'Clock
🕤,Nine-Thirty
🕙,Ten O'Clock
🕥,Ten-Thirty
🕚,Eleven O'Clock
🕦,Eleven-Thirty
🌑,New Moon
🌒,Waxing Crescent Moon
🌓,First Quarter Moon
🌔,Waxing Gibbous Moon
🌕,Full Moon
🌖,Waning Gibbous Moon
🌗,Last Quarter Moon
🌘,Waning Crescent Moon
🌞,Sun with Face
🍇,Grapes
🍈,Melon
🍉,Watermelon
🍊,Tangerine
🍋,Lemon
🍌,Banana
🍍,Pineapple
🥭,Mango
🍎,Red Apple
🍏,Green Apple
🍐,Pear
🍑,Peach
🍒,Cherries
🍓,Strawberry
🫐,Blueberries
🥝,Kiwi Fruit
🍅,Tomato
🫒,Olive
🥥,Coconut
🥑,Avocado
🍆,Eggplant
🥔,Potato
🥕,Carrot
🌽,Ear of Corn
🌶️,Hot Pepper
🫑,Bell Pepper
🥒,Cucumber
🥬,Leafy Green
🥦,Broccoli
🧄,Garlic
🧅,Onion
🍄,Mushroom
🥜,Peanuts
🌰,Chestnut
🍞,Bread
🥐,Croissant
🥖,Baguette Bread
🫓,Flatbread
🥨,Pretzel
🥯,Bagel
🥞,Pancakes
🧇,Waffle
🧀,Cheese Wedge
🍖,Meat on Bone
🍗,Poultry Leg
🥩,Cut of Meat
🥓,Bacon
🍔,Hamburger
🍟,French Fries
🍕,Pizza
🌭,Hot Dog
🥪,Sandwich
🌮,Taco
🌯,Burrito
🫔,Tamale
🥙,Stuffed Flatbread
🧆,Falafel
🥚,Egg
🍳,Cooking
🥘,Shallow Pan of Food
🍲,Pot of Food
🫕,Fondue
🥣,Bowl with Spoon
🥗,Green Salad
🍿,Popcorn
🧈,Butter
🧂,Salt
🥫,Canned Food
🍱,Bento Box
🍘,Rice Cracker
🍙,Rice Ball
🍚,Cooked Rice
🍛,Curry Rice
🍜,Steaming Bowl
🍝,Spaghetti
🍠,Roasted Sweet Potato
🍢,Oden
🍣,Sushi
🍤,Fried Shrimp
🍥,Fish Cake with Swirl
🥮,Moon Cake
🍡,Dango
🥟,Dumpling
🥠,Fortune Cookie
🥡,Takeout Box
🦪,Oyster
🍦,Soft Ice Cream
🍧,Shaved Ice
🍨,Ice Cream
🍩,Doughnut
🍪,Cookie
🎂,Birthday Cake
🍰,Shortcake
🧁,Cupcake
🥧,Pie
🍫,Chocolate Bar
🍬,Candy
🍭,Lollipop
🍮,Custard
🍯,Honey Pot
🍼,Baby Bottle
🥛,Glass of Milk
☕,Hot Beverage
🍵,Teacup Without Handle
Emoji,Description
🍶,Sake
🍾,Bottle with Popping Cork
🍷,Wine Glass
🍸,Cocktail Glass
🍹,Tropical Drink
🍺,Beer Mug
🍻,Clinking Beer Mugs
🥂,Clinking Glasses
🥃,Tumbler Glass
🥤,Cup with Straw
🧋,Bubble Tea
🧃,Beverage Box
🧉,Mate
🧊,Ice
🥢,Chopsticks
🍽️,Fork and Knife with Plate
🍴,Fork and Knife
🥄,Spoon
🚀,Rocket
✈️,Airplane
🛩️,Small Airplane
🛫,Airplane Departure
🛬,Airplane Arrival
🪂,Parachute
💺,Seat
🚁,Helicopter
🚟,Suspension Railway
🚠,Mountain Cableway
🚡,Aerial Tramway
🛰️,Satellite
🛶,Canoe
⛵,Sailboat
🚤,Speedboat
🛥️,Motor Boat
🛳️,Passenger Ship
⛴️,Ferry
🚢,Ship
⚓,Anchor
🪝,Hook
🛗,Elevator
🪜,Ladder
⏲️,Timer Clock
